Point ID,Points_0,Points_1,Points_2,Points_Magnitude
4,-4.540061951,0.509523451,4.85E-19,4.568563938
2,-4.540061951,0.509517193,-0.013430731,4.568583012
3,-4.540061951,0.509501874,-0.045711938,4.568790436
5,-4.540061951,0.509491682,-0.047173891,4.568803787
21,-4.540061951,0.509482443,-0.047810405,4.568809509
6,-4.540061951,0.509474576,-0.048652384,4.568817616
7,-4.540061951,0.509465992,-0.049185392,4.568822384
8,-4.540061951,0.509456515,-0.050029971,4.56883049
25,-4.540061951,0.509446323,-0.050566006,4.568835258
26,-4.540061951,0.5094226,-0.052265007,4.568851471
27,-4.540061951,0.509396493,-0.053347528,4.568861485
9,-4.540061951,0.509365678,-0.055059586,4.568878174
10,-4.540061951,0.509331703,-0.056154776,4.568887711
11,-4.540061951,0.509293318,-0.057875387,4.568904877
23,-4.540061951,0.509252608,-0.058979858,4.568914413
24,-4.540061951,0.509206295,-0.060704187,4.568932056
28,-4.540061951,0.509159505,-0.06181486,4.568941593
29,-4.540061951,0.509105086,-0.063539587,4.568959236
30,-4.540061951,0.509052396,-0.064653754,4.568968773
12,-4.540061951,0.508919656,-0.068092845,4.569004059
13,-4.540061951,0.508796275,-0.070323654,4.569024086
14,-4.540061951,0.50866425,-0.073121391,4.569053173
22,-4.540061951,0.508543551,-0.074940994,4.569069386
15,-4.540061951,0.50839138,-0.07772176,4.569098949
16,-4.540061951,0.508250475,-0.079532504,4.569114208
17,-4.540061951,0.508080423,-0.08229658,4.569144249
18,-4.540061951,0.507920146,-0.084097467,4.569159508
19,-4.540061951,0.507745028,-0.085885808,4.569173336
20,-4.540061951,0.507437766,-0.088631332,4.569191456
48,-4.540061951,0.507067561,-0.096322119,4.569305897
47,-4.540061951,0.506641328,-0.100479811,4.569348335
46,-4.540061951,0.506070912,-0.104881771,4.569384098
45,-4.540061951,0.505415916,-0.112242877,4.569486618
44,-4.540061951,0.503838599,-0.121129237,4.56953907
43,-4.540061951,0.501810372,-0.13605696,4.569736004
42,-4.540061951,0.500251889,-0.142563254,4.56976366
41,-4.540061951,0.498099893,-0.15354839,4.5698843
40,-4.540061951,0.496188849,-0.159969628,4.569896698
39,-4.540061951,0.493438452,-0.170846522,4.569992542
38,-4.540061951,0.491154373,-0.177163586,4.569987297
37,-4.540061951,0.487761736,-0.187886834,4.570052147
36,-4.540061951,0.485081792,-0.194076657,4.570025444
35,-4.540061951,0.48100543,-0.204598397,4.570053577
34,-4.540061951,0.476782113,-0.212601885,4.56997633
33,-4.540061951,0.470233649,-0.226218924,4.569951534
31,-4.540061951,0.464034915,-0.236634642,4.5698452
32,-4.540061951,0.457281023,-0.246861801,4.569705486
62,-4.540061951,0.449249178,-0.257734567,4.569509029
63,-4.540061951,0.447605371,-0.259977221,4.569475174
51,-4.540061951,0.437842548,-0.271199793,4.569181442
49,-4.540061951,0.436800987,-0.272476017,4.5691576
50,-4.540061951,0.426178277,-0.28305456,4.568797588
64,-4.540061951,0.425046772,-0.284249157,4.568766117
65,-4.540061951,0.413592547,-0.294027567,4.568333626
72,-4.540061951,0.412372619,-0.295123935,4.568294048
54,-4.540061951,0.39694801,-0.30600071,4.567643642
52,-4.540061951,0.395305157,-0.307207733,4.56758213
53,-4.540061951,0.3788037,-0.316459745,4.566815376
55,-4.540061951,0.377048939,-0.317471564,4.566740036
56,-4.540061951,0.359672368,-0.32501334,4.565868855
57,-4.540061951,0.357832819,-0.325825125,4.565782547
58,-4.540061951,0.339811504,-0.331622124,4.564822674
70,-4.540061951,0.337913215,-0.332240343,4.56472683
71,-4.540061951,0.319435179,-0.336410552,4.56370163
68,-4.540061951,0.317497253,-0.336847425,4.563598633
69,-4.540061951,0.298700124,-0.339560181,4.562530518
66,-4.540061951,0.296741545,-0.339835852,4.562423229
67,-4.540061951,0.277705282,-0.341232508,4.561328888
61,-4.540061951,0.275742352,-0.341380596,4.561221123
59,-4.540061951,0.272433788,-0.341452867,4.561027527
0,-4.540061951,0.138743505,-0.341800004,4.55502367
1,-4.540061951,-5.08E-18,-0.341800004,4.552909851
