Point ID,Points_0,Points_1,Points_2,Points_Magnitude
2,-3.474452257,0.509493887,0.00E+00,3.511609793
3,-3.474452257,0.509493887,-0.0054594,3.511613846
4,-3.474452257,0.50949347,-0.034937318,3.511783361
21,-3.474452257,0.509494066,-0.065733187,3.512224913
20,-3.474452257,0.509494305,-0.071948737,3.512346745
19,-3.474452257,0.509494662,-0.079585783,3.512511492
18,-3.474452257,0.50949508,-0.089358121,3.512746572
5,-3.474452257,0.509495676,-0.102535732,3.513106585
6,-3.474452257,0.509501874,-0.203580096,3.517507076
7,-3.474452257,0.509501874,-0.207700625,3.517747879
8,-3.474452257,0.509501874,-0.212268829,3.51802063
9,-3.474452257,0.509501874,-0.214720517,3.518169403
10,-3.474452257,0.509501874,-0.217263594,3.518325567
11,-3.474452257,0.509501874,-0.219873413,3.518487692
12,-3.474452257,0.509501874,-0.222513005,3.518653631
13,-3.474452257,0.509501874,-0.224508494,3.518780231
14,-3.474452257,0.509501874,-0.226890802,3.518933058
15,-3.474452257,0.509501874,-0.230122209,3.519142866
16,-3.474452257,0.509501874,-0.230334073,3.519156694
17,-3.474452257,0.509501874,-0.230792359,3.519186735
89,-3.474452257,0.509238422,-0.235310405,3.519447804
88,-3.474452257,0.508635938,-0.243703246,3.519931793
87,-3.474452257,0.508364975,-0.246757224,3.520105362
22,-3.474452257,0.508315325,-0.246861786,3.5201056
23,-3.474452257,0.507967055,-0.248829395,3.520193815
24,-3.474452257,0.507597923,-0.250729352,3.520275354
25,-3.474452257,0.506399155,-0.25703007,3.520557165
26,-3.474452257,0.504644275,-0.263199002,3.520761013
27,-3.474452257,0.503440619,-0.267046154,3.520878315
28,-3.474452257,0.501142025,-0.273036093,3.521009922
29,-3.474452257,0.49958095,-0.276746303,3.521077633
30,-3.474452257,0.496757001,-0.282509834,3.521135807
31,-3.474452257,0.494847089,-0.286021084,3.521150351
32,-3.474452257,0.491519809,-0.291511863,3.521134615
33,-3.474452257,0.489856213,-0.293987751,3.521108627
34,-3.474452257,0.486051887,-0.299161285,3.521017313
35,-3.474452257,0.48420164,-0.301490784,3.520961046
36,-3.474452257,0.479950875,-0.306306064,3.52079463
37,-3.474452257,0.47792846,-0.308481723,3.520709515
38,-3.474452257,0.473264158,-0.312899679,3.520469189
39,-3.474452257,0.471084118,-0.314913005,3.520356417
40,-3.474452257,0.468761861,-0.316753,3.520211458
54,-3.474452257,0.463720858,-0.320740014,3.519904852
53,-3.474452257,0.461269408,-0.322396755,3.519734144
52,-3.474452257,0.455891699,-0.325918883,3.519357681
51,-3.474452257,0.450221717,-0.328948438,3.518909693
50,-3.474452257,0.444958001,-0.331633031,3.518491983
49,-3.474452257,0.439038277,-0.334145933,3.517986059
48,-3.474452257,0.435290039,-0.335414439,3.517641068
47,-3.474452257,0.429168969,-0.337390363,3.517077923
46,-3.474452257,0.425310433,-0.33828938,3.516695499
45,-3.474452257,0.419036716,-0.33971265,3.516079426
44,-3.474452257,0.415155768,-0.340310454,3.515676975
43,-3.474452257,0.408778101,-0.341169,3.515012741
41,-3.474452257,0.405403942,-0.341490924,3.514653206
55,-3.474452257,0.00E+00,-0.341800004,3.491224051
