Point ID,Points_0,Points_1,Points_2,Points_Magnitude
2,-7.498856544,0.00E+00,0,7.500083447
3,-7.498856544,0.00E+00,-0.135660574,7.500083447
5,-7.498856544,0.00058306,-0.135974839,7.500089169
6,-7.498856544,0.000590924,-0.135983706,7.500089645
22,-7.498856544,0.000621118,-0.135997698,7.500089645
20,-7.498856544,0.001040784,-0.136523768,7.500099182
21,-7.498856544,0.001347354,-0.13673076,7.500102997
9,-7.498856544,0.001709853,-0.137217581,7.500112057
7,-7.498856544,0.002213661,-0.137568101,7.500118732
8,-7.498856544,0.002618377,-0.138233244,7.50013113
31,-7.498856544,0.00339101,-0.138982147,7.500144959
30,-7.498856544,0.003709801,-0.139517397,7.500155449
29,-7.498856544,0.003865709,-0.139663443,7.500157833
28,-7.498856544,0.004759032,-0.141643718,7.500195503
19,-7.498856544,0.005257647,-0.14229691,7.500208378
13,-7.498856544,0.00579626,-0.144056723,7.500242233
11,-7.498856544,0.006406861,-0.145267919,7.500266075
12,-7.498856544,0.006673345,-0.146881044,7.500298023
26,-7.498856544,0.007171409,-0.148601562,7.500332356
27,-7.498856544,0.007223824,-0.150264174,7.500365257
24,-7.498856544,0.007447555,-0.152304366,7.500406742
25,-7.498856544,0.007267735,-0.154368088,7.500448704
23,-7.498856544,0.00718632,-0.156353876,7.500489712
18,-7.498856544,0.005234754,-0.164628953,7.500665188
17,-7.498856544,0.005001806,-0.165363446,7.5006814
14,-7.498856544,0.002642444,-0.170102239,7.500785828
15,-7.498856544,0.001894673,-0.171456218,7.500816822
16,-7.498856544,0.00130961,-0.172510311,7.500840664
0,-7.498856544,0.00E+00,-0.173829257,7.500871181
,,,,
