Point ID,Points_0,Points_1,Points_2,Points_Magnitude
4,-4.658463478,0.509508252,1.43E-19,4.686243534
2,-4.658463478,0.509501874,-0.013762978,4.686263084
3,-4.658463478,0.509476483,-0.015559574,4.686265945
5,-4.658463478,0.509453893,-0.016926877,4.68626833
6,-4.658463478,0.509447277,-0.017369341,4.686269283
7,-4.658463478,0.509445131,-0.017500561,4.68626976
21,-4.658463478,0.509399831,-0.019788191,4.686273575
26,-4.658463478,0.509397328,-0.019918272,4.686274052
27,-4.658463478,0.509342074,-0.022214703,4.686278343
8,-4.658463478,0.509335816,-0.022473186,4.68627882
9,-4.658463478,0.509187818,-0.027096804,4.686287403
10,-4.658463478,0.50917995,-0.027351666,4.68628788
24,-4.658463478,0.508983314,-0.032015406,4.686295986
25,-4.658463478,0.508974075,-0.03226674,4.68629694
28,-4.658463478,0.508739948,-0.036959283,4.686306
29,-4.658463478,0.508729458,-0.037207227,4.686306953
30,-4.658463478,0.508464456,-0.041917372,4.686317921
11,-4.658463478,0.508452892,-0.042162135,4.686318874
12,-4.658463478,0.508156419,-0.046879061,4.686331272
13,-4.658463478,0.508129716,-0.047361735,4.686333656
23,-4.658463478,0.507440031,-0.056778662,4.68636322
14,-4.658463478,0.50741446,-0.057164572,4.686365128
15,-4.658463478,0.506749988,-0.064830706,4.686393261
16,-4.658463478,0.506720424,-0.065210909,4.686395168
22,-4.658463478,0.505951107,-0.072826028,4.686424255
17,-4.658463478,0.505917668,-0.07320182,4.68642664
18,-4.658463478,0.505041838,-0.080761462,4.686456203
19,-4.658463478,0.505005479,-0.081133232,4.686458588
20,-4.658463478,0.503883243,-0.088631332,4.686473846
35,-4.658463478,0.502351522,-0.10056816,4.68655014
36,-4.658463478,0.502350926,-0.100573875,4.68655014
49,-4.658463478,0.50032109,-0.112405546,4.686602116
47,-4.658463478,0.500319242,-0.112419784,4.686602116
48,-4.658463478,0.495064855,-0.136302665,4.686677933
45,-4.658463478,0.495055586,-0.136355042,4.68667841
46,-4.658463478,0.490126371,-0.1538378,4.686701775
43,-4.658463478,0.490114987,-0.15388529,4.686701775
44,-4.658463478,0.484258026,-0.171134755,4.686691284
41,-4.658463478,0.484242439,-0.171187118,4.686691761
42,-4.658463478,0.47740218,-0.188148856,4.686640263
39,-4.658463478,0.477382779,-0.18820253,4.686640263
40,-4.658463478,0.469493598,-0.204811469,4.68653965
37,-4.658463478,0.469471186,-0.20486322,4.68653965
38,-4.658463478,0.45721373,-0.226316869,4.686314583
33,-4.658463478,0.457182825,-0.226375446,4.686314583
34,-4.658463478,0.457107753,-0.226486817,4.686312675
31,-4.658463478,0.447797358,-0.240089536,4.686090946
32,-4.658463478,0.44273901,-0.246861801,4.6859622
67,-4.658463478,0.434030533,-0.257708073,4.685731411
68,-4.658463478,0.432170391,-0.259860456,4.685678482
71,-4.658463478,0.42978555,-0.26235041,4.68559742
72,-4.658463478,0.420663625,-0.272304535,4.685337543
73,-4.658463478,0.418084025,-0.274667203,4.68524456
74,-4.658463478,0.408238143,-0.284034491,4.684935093
52,-4.658463478,0.405466169,-0.286231458,4.684827805
50,-4.658463478,0.39491868,-0.294880629,4.684463501
51,-4.658463478,0.39119941,-0.297339171,4.684306622
69,-4.658463478,0.3770881,-0.306956738,4.683769703
70,-4.658463478,0.373109758,-0.309046149,4.683588505
75,-4.658463478,0.358091235,-0.317192346,4.682960987
55,-4.658463478,0.353893965,-0.318890393,4.682756901
53,-4.658463478,0.338145882,-0.325494677,4.682047844
54,-4.658463478,0.333787084,-0.326816231,4.681827068
56,-4.658463478,0.317525685,-0.331908166,4.681054115
57,-4.658463478,0.313048184,-0.332874537,4.680820942
61,-4.658463478,0.296426564,-0.336562246,4.680002689
62,-4.658463478,0.291859061,-0.337205172,4.679761887
66,-4.658463478,0.274993956,-0.339628547,4.678915501
65,-4.658463478,0.270359486,-0.339993805,4.678671837
63,-4.658463478,0.253341079,-0.341298878,4.677814484
64,-4.658463478,0.239148125,-0.341608286,4.677089691
60,-4.658463478,0.236934766,-0.341663182,4.676981449
58,-4.658463478,0.235717088,-0.341698736,4.676922321
0,-4.658463478,0.138513803,-0.341800004,4.67303896
1,-4.658463478,-4.06E-18,-0.341800004,4.670985699
