Point ID,Points_0,Points_1,Points_2,Points_Magnitude
103,-0.238155097,0.352430105,-1.27E-20,0.425352603
6,-0.238155097,0.351842135,-0.000125467,0.424865574
7,-0.238155097,0.333861202,-0.003582142,0.410114586
102,-0.238155097,0.323712349,-0.005314669,0.401915133
101,-0.238155097,0.287600845,-0.011186284,0.373573601
99,-0.238155097,0.267055184,-0.014102972,0.358099461
100,-0.238155097,0.230824888,-0.019186242,0.332213908
104,-0.238155097,0.194806114,-0.023610748,0.308585048
105,-0.238155097,0.17367366,-0.026154239,0.295912892
106,-0.238155097,0.137659743,-0.030318789,0.276744068
107,-0.238155097,0.119795054,-0.032480322,0.268558502
98,-0.238155097,0.109007962,-0.033861712,0.264096946
97,-0.238155097,0.091192096,-0.036291949,0.257586777
96,-0.238155097,0.08234109,-0.037667237,0.254787624
94,-0.238155097,0.071534336,-0.039617661,0.251802653
95,-0.238155097,0.062692545,-0.041150551,0.249682948
108,-0.238155097,0.053905047,-0.042871591,0.247914463
109,-0.238155097,0.046444088,-0.044485867,0.246685818
110,-0.238155097,0.044968646,-0.044816632,0.246472225
136,-0.238155097,0.044237293,-0.045023922,0.246377647
137,-0.238155097,0.040216949,-0.046123318,0.245891467
134,-0.238155097,0.038208403,-0.046701692,0.245680243
135,-0.238155097,0.035449632,-0.04757211,0.245433554
132,-0.238155097,0.034009956,-0.048028879,0.24531877
133,-0.238155097,0.030704999,-0.049184039,0.245111644
131,-0.238155097,0.029936712,-0.04945514,0.245071143
130,-0.238155097,0.026051098,-0.050972492,0.244938165
128,-0.238155097,0.02603134,-0.050980076,0.244937643
129,-0.238155097,0.026028041,-0.050981492,0.244937584
117,-0.238155097,0.022177966,-0.052655324,0.244912833
115,-0.238155097,0.021494355,-0.0529944,0.244925022
116,-0.238155097,0.018555708,-0.054466181,0.245007604
147,-0.238155097,0.017158408,-0.055268522,0.245085433
148,-0.238155097,0.015207069,-0.056410618,0.245216772
149,-0.238155097,0.013068393,-0.057833858,0.245424911
120,-0.238155097,0.012174277,-0.058466703,0.245528862
118,-0.238155097,0.009932389,-0.06025476,0.245859995
119,-0.238155097,0.009460214,-0.060620077,0.245931163
144,-0.238155097,0.009314286,-0.060744442,0.245956287
145,-0.238155097,0.006976447,-0.063026659,0.2464526
146,-0.238155097,0.006028275,-0.064061575,0.246694297
125,-0.238155097,0.004936995,-0.065506056,0.247049123
126,-0.238155097,0.003410739,-0.067872815,0.247661471
127,-0.238155097,0.003359133,-0.067970306,0.247687504
141,-0.238155097,0.003289282,-0.06813731,0.247732446
142,-0.238155097,0.002230851,-0.070924617,0.248501763
143,-0.238155097,0.001811408,-0.072243638,0.248878032
124,-0.238155097,0.001431981,-0.073726192,0.249309957
122,-0.238155097,0.001038124,-0.07555522,0.249854997
123,-0.238155097,0.000867746,-0.076377593,0.250104249
140,-0.238155097,0.000777017,-0.076905973,0.250265837
139,-0.238155097,0.000459422,-0.079100534,0.250948101
138,-0.238155097,0.000220101,-0.081030421,0.251562774
121,-0.238155097,0.000191535,-0.081318483,0.251655668
114,-0.238155097,0.000154219,-0.081847213,0.251827002
113,-0.238155097,8.13E-05,-0.083055571,0.2522223
112,-0.238155097,6.14E-05,-0.083489344,0.25236547
111,-0.238155097,2.76E-05,-0.08438205,0.252662182
4,-0.238155097,2.92E-17,-0.08579459,0.253137439
0,-0.238155097,1.85E-20,-0.16846168,0.291714221
8,-0.238155097,5.70E-05,-0.168698132,0.291850835
