Point ID,Points_0,Points_1,Points_2,Points_Magnitude
5,-4.776864529,0.509015679,-2.28E-19,4.803907871
2,-4.776864529,0.509014606,-2.84E-05,4.803907871
3,-4.776864529,0.508700669,-0.00605809,4.803878307
4,-4.776864529,0.508641124,-0.007160338,4.803873539
6,-4.776864529,0.508253336,-0.013193769,4.803845406
7,-4.776864529,0.508176327,-0.01431697,4.803840637
8,-4.776864529,0.507724583,-0.020345006,4.803814411
20,-4.776864529,0.5076316,-0.021483039,4.803809643
9,-4.776864529,0.507114887,-0.027496273,4.803785801
10,-4.776864529,0.507007062,-0.028643832,4.803781033
11,-4.776864529,0.505783856,-0.04059054,4.803738117
18,-4.776864529,0.505525887,-0.042904083,4.803730965
19,-4.776864529,0.504352272,-0.052597158,4.803704262
21,-4.776864529,0.504102111,-0.054483961,4.803699017
12,-4.776864529,0.502770782,-0.064098805,4.803678036
13,-4.776864529,0.502487004,-0.065971062,4.803673744
14,-4.776864529,0.500986278,-0.075505137,4.803657055
17,-4.776864529,0.500667512,-0.077358492,4.803653717
15,-4.776864529,0.500172734,-0.079910353,4.803643703
16,-4.776864529,0.498488218,-0.088631332,4.803621769
26,-4.776864529,0.497663707,-0.093451597,4.803627491
27,-4.776864529,0.496030182,-0.100626379,4.803603649
28,-4.776864529,0.49412927,-0.108085461,4.803569794
29,-4.776864529,0.493181825,-0.112520203,4.803574085
30,-4.776864529,0.488650471,-0.127558485,4.803486824
31,-4.776864529,0.486302793,-0.136533722,4.803495407
32,-4.776864529,0.482336283,-0.14751482,4.803420067
33,-4.776864529,0.480212837,-0.154092401,4.803413868
34,-4.776864529,0.475722075,-0.164914891,4.80332613
35,-4.776864529,0.473263264,-0.171410695,4.803310871
36,-4.776864529,0.468200505,-0.18203862,4.80320549
37,-4.776864529,0.465383261,-0.188426554,4.80317831
38,-4.776864529,0.459679693,-0.198811769,4.803047657
39,-4.776864529,0.456472516,-0.205058634,4.803004265
40,-4.776864529,0.447794318,-0.218446702,4.802777767
24,-4.776864529,0.442873329,-0.226491347,4.802693844
25,-4.776864529,0.43522203,-0.236664549,4.802484989
22,-4.776864529,0.432102293,-0.240744308,4.802406311
23,-4.776864529,0.427191138,-0.246861801,4.802277565
55,-4.776864529,0.415890574,-0.259778261,4.801966667
56,-4.776864529,0.41585809,-0.259813905,4.801965714
52,-4.776864529,0.41578275,-0.259889543,4.801963329
53,-4.776864529,0.403689384,-0.2722646,4.801617146
54,-4.776864529,0.403565288,-0.272374332,4.801612854
64,-4.776864529,0.390634269,-0.284009099,4.801217556
63,-4.776864529,0.39045918,-0.284143418,4.801211357
62,-4.776864529,0.376701385,-0.294870466,4.800758839
61,-4.776864529,0.376414984,-0.295054168,4.800747871
60,-4.776864529,0.358126879,-0.306961566,4.800095081
43,-4.776864529,0.357756168,-0.3071509,4.800079823
41,-4.776864529,0.338395029,-0.317171097,4.799327374
42,-4.776864529,0.337933481,-0.31735298,4.79930687
57,-4.776864529,0.317719251,-0.325410277,4.798465729
58,-4.776864529,0.317164302,-0.325574249,4.79843998
59,-4.776864529,0.296386391,-0.331783354,4.79753685
46,-4.776864529,0.295747429,-0.331917793,4.797506809
44,-4.776864529,0.274586499,-0.3364214,4.796562672
45,-4.776864529,0.273866564,-0.336520046,4.796528339
47,-4.776864529,0.252460957,-0.339494079,4.795563221
48,-4.776864529,0.251655698,-0.339555264,4.795525551
51,-4.776864529,0.23014389,-0.341236711,4.79456377
49,-4.776864529,0.225319549,-0.341377527,4.794344902
0,-4.776864529,0.138284102,-0.341800004,4.791073322
1,-4.776864529,-3.04E-18,-0.341800004,4.789077282
