Point ID,Points_0,Points_1,Points_2,Points_Magnitude
5,-3.356050968,0.50949496,0,3.394504786
2,-3.356050968,0.509494841,-0.003019603,3.394506216
3,-3.356050968,0.50949496,-0.01708214,3.394547939
4,-3.356050968,0.509494603,-0.040419839,3.39474535
19,-3.356050968,0.509495676,-0.094817206,3.395828962
18,-3.356050968,0.509496093,-0.10579627,3.396153212
17,-3.356050968,0.509496689,-0.119286232,3.396600485
16,-3.356050968,0.509497464,-0.136547938,3.397250414
6,-3.356050968,0.509498537,-0.159824684,3.398265839
7,-3.356050968,0.509501874,-0.21439974,3.401269913
8,-3.356050968,0.509501874,-0.216625288,3.401411057
9,-3.356050968,0.509501874,-0.219092622,3.401569128
10,-3.356050968,0.509501874,-0.220416799,3.401654482
11,-3.356050968,0.509501874,-0.221790344,3.401743889
12,-3.356050968,0.509501874,-0.223199934,3.401836157
13,-3.356050968,0.509501874,-0.224625602,3.401929855
14,-3.356050968,0.509501874,-0.22772947,3.402136326
15,-3.356050968,0.509501874,-0.230282441,3.402307987
63,-3.356050968,0.509443402,-0.23251237,3.402451038
62,-3.356050968,0.50932461,-0.236220866,3.402688742
61,-3.356050968,0.508900881,-0.240973979,3.402958632
49,-3.356050968,0.508797586,-0.242281437,3.403035879
50,-3.356050968,0.508103907,-0.247117028,3.40328002
51,-3.356050968,0.507928014,-0.248447403,3.403350592
52,-3.356050968,0.506974161,-0.253305376,3.40356636
53,-3.356050968,0.506722927,-0.254638702,3.403628588
89,-3.356050968,0.504818976,-0.261858046,3.403893232
84,-3.356050968,0.504298151,-0.263829291,3.403968334
85,-3.356050968,0.501822829,-0.270894349,3.4041574
82,-3.356050968,0.501136005,-0.272814244,3.404209614
83,-3.356050968,0.498081267,-0.279656142,3.404316425
80,-3.356050968,0.497237951,-0.281510442,3.404345989
81,-3.356050968,0.493605733,-0.288062125,3.40436554
78,-3.356050968,0.49261421,-0.289833754,3.404372215
79,-3.356050968,0.4884229,-0.296029955,3.404301405
76,-3.356050968,0.487288684,-0.297697634,3.404284477
77,-3.356050968,0.482559651,-0.303474784,3.404120922
74,-3.356050968,0.481288254,-0.305018663,3.40407896
75,-3.356050968,0.476059079,-0.310335249,3.403824091
72,-3.356050968,0.474662006,-0.311745852,3.403757811
73,-3.356050968,0.468980193,-0.31657517,3.403415918
70,-3.356050968,0.467473239,-0.31784901,3.403327465
71,-3.356050968,0.459273696,-0.323485881,3.402742147
68,-3.356050968,0.457119524,-0.324964225,3.402592897
69,-3.356050968,0.448303044,-0.32962811,3.401868343
66,-3.356050968,0.446008086,-0.33084324,3.401684761
67,-3.356050968,0.436689377,-0.33449617,3.400832653
64,-3.356050968,0.434283644,-0.335439622,3.400617599
65,-3.356050968,0.429486036,-0.336901337,3.400152683
54,-3.356050968,0.428255141,-0.337275147,3.400034666
55,-3.356050968,0.423393279,-0.338506341,3.399548054
56,-3.356050968,0.422152698,-0.338817656,3.399424791
57,-3.356050968,0.417252153,-0.339821279,3.398919821
58,-3.356050968,0.416009337,-0.340071052,3.398792505
86,-3.356050968,0.411113381,-0.340824455,3.398272038
87,-3.356050968,0.409878522,-0.341008723,3.398141384
88,-3.356050968,0.405034721,-0.341482729,3.39760828
60,-3.356050968,0.403819233,-0.341596484,3.397475004
59,-3.356050968,0.400000006,-0.341729671,3.397036552
20,-3.356050968,0.00E+00,-0.341800004,3.373411417
