Point ID,Points_0,Points_1,Points_2,Points_Magnitude
4,-0.001352875,0.137542382,-7.73E-19,0.137549028
5,-0.001352875,0.131094471,-0.00057541,0.131102711
6,-0.001352875,0.108967192,-0.002453554,0.109003209
7,-0.001352875,0.076681234,-0.005146381,0.076865643
8,-0.001352875,0.054401007,-0.006835275,0.054845426
9,-0.001352875,0.038350198,-0.008175813,0.039235339
3,-0.001352875,0.027155172,-0.009043798,0.028653516
2,-0.001352875,0.004588667,-0.010741611,0.011758756
0,-0.001352875,0.001516695,-0.01096928,0.011155973
1,-0.001352875,0.00E+00,-0.011114615,0.011196649
10,-0.001352875,0.00E+00,-0.245539278,0.011196649
