Point ID,Points_0,Points_1,Points_2,Points_Magnitude
0,0,0,0,0
1,-7.342221737,8.99E-16,-0.061206292,7.342476845
37,-7.342221737,0.001520064,-0.061378889,7.342478275
36,-7.342221737,0.001704447,-0.061499886,7.342479706
35,-7.342221737,0.002702342,-0.061632641,7.342481136
34,-7.342221737,0.003434929,-0.061770458,7.342482567
32,-7.342221737,0.005379203,-0.062082104,7.342486382
33,-7.342221737,0.006929168,-0.062407069,7.342490196
51,-7.342221737,0.010607027,-0.063200168,7.342501163
49,-7.342221737,0.013984863,-0.064048804,7.342514515
50,-7.342221737,0.017379498,-0.065045163,7.342530251
47,-7.342221737,0.020999979,-0.066158853,7.342549801
48,-7.342221737,0.024092166,-0.06733001,7.342569828
31,-7.342221737,0.027808424,-0.068710729,7.342596054
30,-7.342221737,0.030581456,-0.070032902,7.342619419
29,-7.342221737,0.034232125,-0.071679778,7.342651367
28,-7.342221737,0.036674265,-0.073134504,7.342677593
27,-7.342221737,0.040093686,-0.075042419,7.342714787
25,-7.342221737,0.042230081,-0.076618686,7.34274292
26,-7.342221737,0.045351531,-0.078772269,7.342784405
46,-7.342221737,0.047225472,-0.080463178,7.342814446
44,-7.342221737,0.050054759,-0.08284007,7.342859745
45,-7.342221737,0.051703431,-0.084639683,7.342891693
24,-7.342221737,0.054253872,-0.087216161,7.342940331
23,-7.342221737,0.055709559,-0.089118682,7.342973709
22,-7.342221737,0.057999246,-0.091870353,7.343025684
21,-7.342221737,0.060439143,-0.095964238,7.343097687
20,-7.342221737,0.064313322,-0.101893492,7.34321022
18,-7.342221737,0.066181794,-0.106336288,7.343289852
19,-7.342221737,0.069163829,-0.112684287,7.343411922
43,-7.342221737,0.070470355,-0.117448114,7.343499184
41,-7.342221737,0.072574578,-0.124027997,7.34362793
42,-7.342221737,0.073131405,-0.127366468,7.343690395
39,-7.342221737,0.074066892,-0.13179417,7.343778133
40,-7.342221737,0.074386589,-0.1352662,7.343844414
38,-7.342221737,0.074983902,-0.139669716,7.343933105
6,-7.342221737,0.074975967,-0.147053123,7.34407711
4,-7.342221737,0.075315438,-0.155586243,7.344256401
5,-7.342221737,0.07500729,-0.159454137,7.344336033
7,-7.342221737,0.074839421,-0.163551196,7.344424248
8,-7.342221737,0.074338891,-0.167553619,7.344509602
9,-7.342221737,0.073990345,-0.171490401,7.344596863
10,-7.342221737,0.073299453,-0.175633237,7.344687939
11,-7.342221737,0.07280153,-0.179389879,7.344773769
12,-7.342221737,0.0719226,-0.183678702,7.344871044
13,-7.342221737,0.07130675,-0.187235594,7.344954968
14,-7.342221737,0.068955682,-0.196381971,7.345171452
54,-7.342221737,0.067502201,-0.202715471,7.345329762
55,-7.342221737,0.064282611,-0.212557107,7.345579147
52,-7.342221737,0.062681593,-0.217848837,7.345720291
53,-7.342221737,0.058494989,-0.228448346,7.346007824
17,-7.342221737,0.056956809,-0.232572347,7.346125126
15,-7.342221737,0.054011781,-0.239313662,7.346319199
16,-7.342221737,0.050556585,-0.246861801,7.346544743
68,-7.342221737,0.047397342,-0.253429413,7.346746922
69,-7.342221737,0.045415387,-0.257505804,7.346876144
67,-7.342221737,0.044336878,-0.259609312,7.346943855
66,-7.342221737,0.039947353,-0.268052429,7.347221851
56,-7.342221737,0.039087128,-0.269623041,7.34727478
57,-7.342221737,0.035651419,-0.275857121,7.347488403
58,-7.342221737,0.034742862,-0.277413964,7.347542763
79,-7.342221737,0.031106818,-0.28350684,7.347759247
78,-7.342221737,0.030138977,-0.285025239,7.347813606
59,-7.342221737,0.026133062,-0.2908566,7.348026752
60,-7.342221737,0.025086489,-0.292281717,7.348079681
61,-7.342221737,0.020465041,-0.297698379,7.348282814
77,-7.342221737,0.019714376,-0.298542798,7.348315239
76,-7.342221737,0.016148765,-0.3018502,7.348441601
74,-7.342221737,0.015337059,-0.302551061,7.348468781
75,-7.342221737,0.011292403,-0.305480987,7.348582745
72,-7.342221737,0.010854587,-0.305769235,7.348593712
73,-7.342221737,0.00856142,-0.307093114,7.348646164
70,-7.342221737,0.008125149,-0.307328373,7.348655224
71,-7.342221737,0.005749227,-0.308486342,7.348701954
65,-7.342221737,0.005318442,-0.308673203,7.348709106
63,-7.342221737,0.002473826,-0.309773058,7.348753929
64,-7.342221737,0.001264561,-0.310260743,7.348774433
62,-7.342221737,0.000636094,-0.310473591,7.348783016
2,-7.342221737,0.00E+00,-0.310595542,7.348788261
