Point ID,Points_0,Points_1,Points_2,Points_Magnitude
3,-1,-0.505248725414,4.02835614145e-19,1.12039113045
2,-1,-0.503906428814,-0.00368034676649,1.1197924614
66,-1,-0.503067612648,-0.00595950521529,1.11942505836
65,-1,-0.501375257969,-0.00974359270185,1.11869215965
64,-1,-0.500366270542,-0.011950164102,1.11826169491
63,-1,-0.498412698507,-0.0156128983945,1.11743414402
62,-1,-0.497240960598,-0.0177361890674,1.116943717
61,-1,-0.49503877759,-0.0212627351284,1.11602663994
60,-1,-0.493711590767,-0.0232922751456,1.11547911167
59,-1,-0.49127215147,-0.0266651026905,1.11447715759
58,-1,-0.489797174931,-0.0285903494805,1.11387550831
76,-1,-0.487127453089,-0.0317816287279,1.11279070377
75,-1,-0.485513925552,-0.0335911586881,1.11213850975
74,-1,-0.479505211115,-0.0393094010651,1.10971641541
73,-1,-0.475903213024,-0.0425327830017,1.10828375816
72,-1,-0.469081401825,-0.0472521148622,1.10556328297
71,-1,-0.465065360069,-0.0499126240611,1.10398232937
70,-1,-0.457697868347,-0.053819861263,1.10108304024
69,-1,-0.453429758549,-0.0560510233045,1.09942722321
68,-1,-0.447717249393,-0.0586081631482,1.09721720219
67,-1,-0.444444835186,-0.0601037703454,1.09596705437
52,-1,-0.438637584448,-0.0624475032091,1.09375619888
51,-1,-0.43533846736,-0.0638469457626,1.09251821041
50,-1,-0.423567831516,-0.068222463131,1.08814704418
54,-1,-0.416947931051,-0.0708881393075,1.08575809002
53,-1,-0.405034303665,-0.0749779939651,1.08151495457
57,-1,-0.398402452469,-0.0775184035301,1.07922828197
56,-1,-0.38038739562,-0.0834896788001,1.07315659523
55,-1,-0.37975269556,-0.0836968421936,1.07294797897
78,-1,-0.379003167152,-0.0838937163353,1.07269823551
77,-1,-0.360939741135,-0.089062936604,1.06686913967
81,-1,-0.346074968576,-0.0940303876996,1.06236040592
86,-1,-0.335279196501,-0.0972313061357,1.05918180943
85,-1,-0.322001546621,-0.102142073214,1.05551791191
84,-1,-0.309901118279,-0.106212630868,1.05229270458
83,-1,-0.300757467747,-0.109956853092,1.05002164841
82,-1,-0.290623188019,-0.113822750747,1.0475769043
80,-1,-0.279713243246,-0.118506155908,1.04512357712
79,-1,-0.270212739706,-0.122849412262,1.04312360287
8,-1,-0.260704219341,-0.127397820354,1.04124772549
7,-1,-0.245650678873,-0.135429859161,1.03859782219
9,-1,-0.242961004376,-0.137015551329,1.03817307949
13,-1,-0.240064516664,-0.139091938734,1.03777527809
12,-1,-0.226649239659,-0.147603854537,1.03593277931
15,-1,-0.223926469684,-0.149968624115,1.03568029404
14,-1,-0.211775124073,-0.159077778459,1.03448271751
18,-1,-0.209295853972,-0.161738082767,1.03439056873
17,-1,-0.198351323605,-0.171548381448,1.03381431103
16,-1,-0.196138620377,-0.174474850297,1.03388190269
6,-1,-0.186216026545,-0.185040131211,1.03388404846
5,-1,-0.184297949076,-0.1881980896,1.0341104269
4,-1,-0.175410836935,-0.199634119868,1.03470897675
11,-1,-0.166077002883,-0.21436804533,1.03611540794
10,-1,-0.165665999055,-0.215215697885,1.03622531891
22,-1,-0.165381714702,-0.215827569366,1.03630721569
23,-1,-0.159308537841,-0.226539343596,1.03764116764
38,-1,-0.15353307128,-0.2376075387,1.039244771
34,-1,-0.153291776776,-0.238182857633,1.03934085369
33,-1,-0.147561147809,-0.249552667141,1.04117763042
20,-1,-0.147335469723,-0.250110089779,1.04127943516
19,-1,-0.141449928284,-0.26170194149,1.04331016541
21,-1,-0.141232833266,-0.262231230736,1.04341363907
39,-1,-0.134991079569,-0.273913562298,1.045586586
40,-1,-0.134775981307,-0.274403452873,1.04568719864
26,-1,-0.134534239769,-0.274878680706,1.04578089714
25,-1,-0.127690404654,-0.286320537329,1.04799056053
24,-1,-0.127431437373,-0.286731690168,1.04807150364
41,-1,-0.119703345001,-0.297653257847,1.05020296574
43,-1,-0.119423344731,-0.298002481461,1.05027019978
42,-1,-0.11061052978,-0.30814036727,1.05222868919
45,-1,-0.110309153795,-0.308430463076,1.05228197575
44,-1,-0.100276216865,-0.317538261414,1.05398571491
47,-1,-0.0999606251717,-0.317770749331,1.05402576923
46,-1,-0.088776782155,-0.325608164072,1.05541551113
29,-1,-0.0884544104338,-0.325785249472,1.05544316769
28,-1,-0.0762507244945,-0.33215585351,1.05647611618
27,-1,-0.075926721096,-0.332282811403,1.05649268627
31,-1,-0.0628779307008,-0.337160229683,1.05718052387
30,-1,-0.0627193823457,-0.337205767632,1.05718564987
35,-1,-0.0559476315975,-0.339077740908,1.05740427971
49,-1,-0.0557927042246,-0.33911126852,1.05740690231
48,-1,-0.048959966749,-0.340540230274,1.05752766132
37,-1,-0.0488125942647,-0.340560674667,1.0575274229
36,-1,-0.0420217290521,-0.34147259593,1.05752980709
32,-1,-0.0393114313483,-0.341606765985,1.05746889114
0,-1,2.84316286759e-18,-0.341800004244,1.05680048466
1,-1,-0.0355246141553,-0.341800004244,1.05739736557
